Date,ID,Click Cost
2015-01-01 12:03:01,6122207195878292480,10.266780
2015-01-01 12:14:15,8190808533466072064,0.000000
2015-01-01 12:23:36,3668555354046249984,14.539352
2015-01-01 12:29:09,1109091556037644288,0.000000
2015-01-01 12:37:21,1510670789765302272,0.000000
2015-01-01 12:51:30,1887227656987520000,6.324515
2015-01-01 13:02:51,1664498606390955008,0.000000
2015-01-01 13:08:13,2706834106363586560,13.059596
2015-01-01 13:12:32,4062344613126596608,11.066891
2015-01-01 13:16:40,2682256738033182720,0.000000
2015-01-01 13:23:07,8207491875649305600,0.000000
2015-01-01 13:23:45,8247557535872800768,13.525696
2015-01-01 13:34:02,6993076732151756800,0.000000
2015-01-01 13:35:03,967352710169650176,14.037841
2015-01-01 13:41:15,1476899641815386112,6.724155
2015-01-01 13:55:00,4751957022979266560,0.000000
2015-01-01 13:55:44,2228971717717380096,6.294689
2015-01-01 13:58:26,2133961029375827968,10.591628
2015-01-01 14:00:18,6383093406415372288,5.792067
2015-01-01 14:03:50,9011454911355086848,0.000000
2015-01-01 14:15:59,7212281621854416896,6.951593
2015-01-01 14:19:20,4564009397932715008,0.000000
2015-01-01 14:25:13,3919065571469312,0.000000
2015-01-01 14:25:44,1950022273527376896,0.000000
2015-01-01 14:38:54,7758629071791823872,0.000000
2015-01-01 14:46:55,4170043457867625472,12.386814
2015-01-01 14:48:51,2489189670666870784,11.857065
2015-01-01 14:48:50,6440906816888907776,10.466312
2015-01-01 14:50:40,4974235355938881536,14.591573
2015-01-01 14:59:21,7431337074472299520,10.547050
2015-01-01 14:59:39,8464456887368744960,9.277795
2015-01-01 15:03:36,5861172228913080320,0.000000
2015-01-01 15:05:18,1918318513014935552,0.000000
2015-01-01 15:11:05,7769989192739437568,0.000000
2015-01-01 15:11:34,7339725092617696256,0.000000
2015-01-01 15:16:27,8162419289877597184,11.366752
2015-01-01 15:19:04,1202715529183309824,9.259443
2015-01-01 15:19:37,7471432272764008448,5.843955
2015-01-01 15:27:51,1949850506737652736,9.713861
2015-01-01 15:29:29,1327948859024662528,0.000000
2015-01-01 15:38:02,1475228730270294016,10.597732
2015-01-01 15:45:12,6009080402921001984,12.056060
2015-01-01 16:02:59,6240360934152813568,7.075892
2015-01-01 16:15:48,1298149108254039040,12.434724
2015-01-01 16:16:43,6199022155750401024,6.311974
2015-01-01 16:19:28,8364337804899097600,0.000000
2015-01-01 16:20:47,5800088186692398080,5.772329
2015-01-01 16:21:08,1438061021205537792,5.372711
2015-01-01 16:24:41,3706910860423506944,0.000000
2015-01-01 16:24:23,2091042349298032640,7.661753
